Title,Region,Type,Rating,Rank
色，戒,"中国台湾,中国大陆,美国,中国香港","剧情,爱情,情色",8.7,178
洛城机密,美国,"剧情,犯罪,悬疑,惊悚",8.9,179
罗生门,日本,"剧情,犯罪,悬疑",8.8,180
赛德克·巴莱(下),中国台湾,"剧情,历史,战争",8.9,181
千钧一发,美国,"剧情,科幻,惊悚",8.8,182
姥姥的外孙,泰国,剧情,8.8,183
熊出没之过年,中国大陆,"剧情,儿童,喜剧,动画,冒险,家庭",9.0,184
地下,"南斯拉夫,法国,德国,保加利亚,捷克,匈牙利,英国,美国","剧情,战争",9.2,185
步履不停,日本,"剧情,家庭",8.8,186
小丑,"美国,加拿大","剧情,犯罪,惊悚",8.7,187
剪刀手爱德华,美国,"剧情,爱情,奇幻",8.7,188
心迷宫,中国大陆,"剧情,犯罪,悬疑",8.7,189
岁月神偷,"中国香港,中国大陆","剧情,家庭",8.7,190
千年女优,日本,"动画,剧情,爱情",8.8,191
消失的爱人,美国,"剧情,犯罪,悬疑,惊悚",8.7,192
天使爱美丽,"法国,德国","剧情,喜剧,爱情",8.7,193
魂断蓝桥,美国,"剧情,爱情,战争",8.8,194
大佛普拉斯,中国台湾,"剧情,喜剧",8.7,195
首尔之春,韩国,剧情,8.8,196
傲慢与偏见,"法国,英国,美国","剧情,爱情",8.7,197
三块广告牌,"英国,美国","剧情,犯罪",8.7,198
小偷家族,日本,"剧情,犯罪,家庭",8.7,199
勇士,美国,"剧情,运动,家庭",8.9,200
血战钢锯岭,"澳大利亚,美国","剧情,传记,历史,战争",8.7,201
天堂回信,中国大陆,"剧情,儿童",9.1,202
爱尔兰人,美国,"剧情,传记,犯罪",8.8,203
聚焦,美国,"剧情,传记",8.8,204
恐怖直播,韩国,"剧情,犯罪,悬疑",8.7,205
那山那人那狗,中国大陆,"剧情,家庭",8.8,206
廊桥遗梦,美国,"剧情,爱情",8.8,207
记忆碎片,美国,"犯罪,剧情,悬疑,惊悚",8.7,208
一次别离,"伊朗,法国","剧情,家庭",8.8,209
切腹,日本,"剧情,动作,悬疑",9.4,210
福音战士新剧场版：序,日本,"剧情,科幻,动画",9.1,211
百万美元宝贝,美国,"剧情,运动",8.8,212
特工,韩国,剧情,8.8,213
无耻混蛋,"德国,美国","剧情,犯罪",8.7,214
遗愿清单,美国,"冒险,喜剧,剧情",8.7,215
荒蛮故事,"阿根廷,西班牙","剧情,喜剧,犯罪",8.7,216
人工智能,美国,"剧情,科幻",8.7,217
剧院魅影：25周年纪念演出,英国,"剧情,音乐,歌舞",9.7,218
F1：狂飙飞车,美国,"剧情,动作,运动",8.7,219
我们俩,中国大陆,剧情,8.8,220
雨人,美国,剧情,8.7,221
萤火虫之墓,日本,"动画,剧情,战争",8.7,222
梦之安魂曲,美国,剧情,8.8,223
相助,"美国,印度,阿联酋",剧情,8.9,224
血钻,"美国,德国,英国","剧情,惊悚,冒险",8.7,225
大决战之辽沈战役,中国大陆,"剧情,历史,战争",9.2,226
战争之王,"美国,德国","剧情,犯罪",8.7,227
四百击,法国,"犯罪,剧情",8.9,228
童年往事,中国台湾,"剧情,传记,家庭",8.9,229
房间,"爱尔兰,加拿大,英国,美国","剧情,家庭",8.7,230
坠落的审判,法国,"剧情,家庭",8.7,231
横道世之介,日本,"剧情,爱情",8.8,232
神女,中国大陆,剧情,9.1,233
悲惨世界,"英国,美国","剧情,爱情,歌舞",8.7,234
影武者,"日本,美国","剧情,历史,战争",9.1,235
弱点,美国,"剧情,家庭,传记,运动",8.7,236
斯隆女士,"美国,法国,英国","剧情,悬疑",8.9,237
帝国的毁灭,"德国,奥地利,意大利","剧情,传记,历史,战争",8.9,238
攻壳机动队2：无罪,日本,"剧情,科幻,动画",9.1,239
八恶人,美国,"剧情,犯罪,西部",8.7,240
东邪西毒,"中国香港,中国台湾","剧情,动作,爱情,武侠,古装",8.6,241
燃情岁月,美国,"剧情,爱情,战争,西部",8.7,242
英雄本色,中国香港,"剧情,动作,犯罪",8.6,243
青蛇,"中国香港,中国大陆","剧情,爱情,奇幻,古装",8.6,244
奇迹男孩,"美国,中国香港","剧情,儿童,家庭",8.6,245
血观音,中国台湾,"剧情,悬疑",8.6,246
精武英雄,"中国香港,中国大陆","动作,剧情",8.7,247
误杀瞒天记,印度,"剧情,犯罪,悬疑",8.7,248
浪潮,德国,"剧情,惊悚",8.7,249
伴我同行,美国,"剧情,儿童,冒险",8.9,250
黑天鹅,美国,"剧情,惊悚",8.6,251
